split,model,article_id,offer_price,n_observations,mae,rmse,zt_avg_nll,zt_avg_crps,zt_pit_ks,zt_interval_score_0.9,zt_interval_score_0.95
split_000_test,fresh_gpt56_learned_type_relative_utility,397068015,10.39,1,1.2245204789516175,1.2245204789516175,1.09135398907584,0.6094085000000001,0.7619291832984334,4.0,4.0
split_000_test,fresh_gpt56_learned_type_relative_utility,397068015,11.69,1,1.22105892563824,1.22105892563824,1.0884632279176163,0.60475075,0.7815943819497475,3.0,4.0
split_000_test,fresh_gpt56_learned_type_relative_utility,397068015,12.06,1,1.2200756136876127,1.2200756136876127,1.08764196764961,0.60527425,0.701117786764168,3.0,4.0
split_000_test,fresh_gpt56_learned_type_relative_utility,397068015,12.99,3,1.2176077547645137,1.2176077547645137,1.085580637842985,0.5767745833333333,0.6825389806858642,3.0,4.0
split_000_test,fresh_gpt56_learned_type_relative_utility,397068015,15.99,1,1.209682969363362,1.209682969363362,1.0789595582203613,0.5863330000000001,0.6735396194171741,3.0,4.0
split_000_test,fresh_gpt56_learned_type_relative_utility,397068015,16.99,3,2.597648813811402,3.204983442042073,3.467887426194045,2.1974674999999997,0.6340803729423106,29.66666666666667,30.666666666666643
split_000_test,fresh_gpt56_learned_type_relative_utility,397068015,17.99,5,0.9226581299103849,1.0026643938223596,1.1961381551734727,0.51126805,0.36815053364096717,3.0,4.0
split_000_test,fresh_gpt56_learned_type_relative_utility,397068015,18.39,1,1.2033825758081775,1.2033825758081775,1.0736937297276512,0.5841877499999999,0.9495638791361787,3.0,4.0
split_000_test,fresh_gpt56_learned_type_relative_utility,397068015,18.56,1,1.2029376216395091,1.2029376216395091,1.0733217753021973,0.6002072500000001,0.762376076542934,3.0,4.0
split_000_test,fresh_gpt56_learned_type_relative_utility,397068015,19.99,89,1.0422571061769657,1.4446445582274439,1.4912982319736583,0.6944339831460674,0.12457196222827938,5.696629213483146,7.146067415730334
split_000_test,fresh_gpt56_learned_type_relative_utility,399087001,7.0,1,1.2335962079465612,1.2335962079465612,1.0989308182819737,0.5571585,0.9806229939885365,4.0,4.0
split_000_test,fresh_gpt56_learned_type_relative_utility,399087001,7.99,1,1.2309384208648337,1.2309384208648337,1.096712328981134,0.5837492499999999,0.7283594936060772,4.0,4.0
split_000_test,fresh_gpt56_learned_type_relative_utility,399087001,9.99,2,1.2255876658738245,1.2255876658738245,1.0922451017364372,0.5915735,0.6769744496005645,4.0,4.0
split_000_test,fresh_gpt56_learned_type_relative_utility,399087001,14.99,1,1.2123184629481205,1.2123184629481205,1.0811617828295437,0.561087,0.8132127015280265,3.0,4.0
split_000_test,fresh_gpt56_learned_type_relative_utility,399087001,15.99,8,2.1774207423408405,3.193302407629674,2.783700427341599,1.6749345,0.2387972452422088,23.000000000000004,33.99999999999997
split_000_test,fresh_gpt56_learned_type_relative_utility,399087001,16.99,10,1.2828214234263178,1.429290444981271,1.4969920119380096,0.789753925,0.31376243589815334,5.0,4.0
split_000_test,fresh_gpt56_learned_type_relative_utility,399087001,17.49,1,1.20574112982426,1.20574112982426,1.075665193772642,0.57919625,0.7042095477796042,3.0,4.0
