split,model,article_id,offer_price,n_observations,mae,rmse,zt_avg_nll,zt_avg_crps,zt_pit_ks,zt_interval_score_0.9,zt_interval_score_0.95
split_000_test,clean_all_category_types_empirical_utility,397068015,10.39,1,1.1703747127329907,1.1703747127329907,1.0460775105215288,0.5718765000000001,0.7509024324832707,3.0,4.0
split_000_test,clean_all_category_types_empirical_utility,397068015,11.69,1,1.1612826364920252,1.1612826364920252,1.0384619373842146,0.563246,0.7703961901464333,3.0,4.0
split_000_test,clean_all_category_types_empirical_utility,397068015,12.06,1,1.1587086560636282,1.1587086560636282,1.036305262185479,0.5679482499999999,0.6853734859830434,3.0,4.0
split_000_test,clean_all_category_types_empirical_utility,397068015,12.99,3,1.1522657034443307,1.1522657034443307,1.0309055112014125,0.5329068333333332,0.6646984877429357,3.0,4.0
split_000_test,clean_all_category_types_empirical_utility,397068015,15.99,1,1.1317407627775506,1.1317407627775506,1.013690671493254,0.5278312500000001,0.6515211700214737,3.0,4.0
split_000_test,clean_all_category_types_empirical_utility,397068015,16.99,3,2.6250046713539334,3.268388426275333,3.615405183955995,2.267079,0.6399844855789689,29.66666666666667,30.666666666666643
split_000_test,clean_all_category_types_empirical_utility,397068015,17.99,5,0.8709645071503374,0.9532093810841413,1.1612651036217227,0.4833531999999999,0.34168361510072925,3.0,4.0
split_000_test,clean_all_category_types_empirical_utility,397068015,18.39,1,1.1156014249930295,1.1156014249930295,1.000139734072575,0.52781825,0.9457142588874701,3.0,4.0
split_000_test,clean_all_category_types_empirical_utility,397068015,18.56,1,1.1144675688371,1.1144675688371,0.9991872361531356,0.5377345,0.7440905145442849,3.0,4.0
split_000_test,clean_all_category_types_empirical_utility,397068015,19.99,89,0.9903813474416141,1.4398467598592772,1.4863073758865044,0.685946025280899,0.09333050204161239,5.696629213483146,7.146067415730334
split_000_test,clean_all_category_types_empirical_utility,399087001,7.0,1,1.2359606128875362,1.2359606128875362,1.1009041745950343,0.55828425,0.9806611940221424,4.0,4.0
split_000_test,clean_all_category_types_empirical_utility,399087001,7.99,1,1.2286165509037081,1.2286165509037081,1.0947739962985503,0.5824762499999999,0.7278324533099181,4.0,4.0
split_000_test,clean_all_category_types_empirical_utility,399087001,9.99,2,1.2139209293503264,1.2139209293503264,1.0825006630623375,0.5834865,0.6738113607006053,3.0,4.0
split_000_test,clean_all_category_types_empirical_utility,399087001,14.99,1,1.1779924908887502,1.1779924908887502,1.0524552897207742,0.5378292499999999,0.8077729892503517,3.0,4.0
split_000_test,clean_all_category_types_empirical_utility,399087001,15.99,8,2.1677358537299463,3.2046215014467654,2.8091523502332723,1.6790610625,0.2400111816816427,23.000000000000004,33.99999999999997
split_000_test,clean_all_category_types_empirical_utility,399087001,16.99,10,1.2655756794508952,1.4236839750613692,1.4913509262929032,0.7829928999999999,0.30324800760075254,5.0,4.0
split_000_test,clean_all_category_types_empirical_utility,399087001,17.49,1,1.160453823019461,1.160453823019461,1.0377675285309553,0.5513089999999999,0.6927846593077562,3.0,4.0
split_000_test,clean_all_category_types_empirical_utility,399087001,17.57,1,1.1598971946080314,1.1598971946080314,1.0373011478825274,0.58036725,0.837905259639483,3.0,4.0
split_000_test,clean_all_category_types_empirical_utility,399087001,17.99,5,1.1569795547154325,1.1569795547154325,1.034856316947903,0.5308085000000001,0.691270088552084,3.0,4.0
split_000_test,clean_all_category_types_empirical_utility,399087001,19.99,88,1.0212870050332696,1.2364142741334685,1.3484185434110234,0.6244205028409091,0.23168637616281057,4.136363636363637,4.909090909090908
split_000_test,clean_all_category_types_empirical_utility,399201022,25.0,1,1.2205582024492458,1.2205582024492458,1.0880450299262558,0.5919955000000001,0.7289506637130216,3.0,4.0
split_000_test,clean_all_category_types_empirical_utility,399201022,29.99,1,0.1844923514128345,0.1844923514128345,1.1379732417687323,0.2464305,0.5466565070677187,3.0,4.0
split_000_test,clean_all_category_types_empirical_utility,399201022,34.99,1,2.8505114938403855,2.8505114938403855,3.4885011026130597,2.3451585,0.9676493939766703,23.000000000000004,4.0
split_000_test,clean_all_category_types_empirical_utility,399201022,35.56,1,1.1455685503581114,1.1455685503581114,1.0252906415710952,0.5354602500000001,0.8014823398608981,3.0,4.0
split_000_test,clean_all_category_types_empirical_utility,399201022,38.45,1,1.1259116729367835,1.1259116729367835,1.0087979284930155,0.4974839999999999,0.7750622876160697,3.0,4.0
split_000_test,clean_all_category_types_empirical_utility,399201022,39.99,3,9.628138597867185,11.616059744749798,16.30214676150028,9.027941166666666,0.6666666267697829,163.00000000000003,297.3333333333331
split_000_test,clean_all_category_types_empirical_utility,399201022,42.49,11,2.500439349303212,3.5847439253363222,3.5495309969880835,2.0718036818181815,0.5491433330136546,26.63636363636364,40.363636363636324
split_000_test,clean_all_category_types_empirical_utility,399201022,44.99,16,0.9267153232903234,1.0831523040503568,1.2535309422452094,0.560483015625,0.29815993004063723,3.0,4.0
split_000_test,clean_all_category_types_empirical_utility,399201022,45.99,4,1.0763013257768521,1.0763013257768521,0.9670870741391414,0.47982443750000003,0.7019306402030682,3.0,4.0
split_000_test,clean_all_category_types_empirical_utility,399201022,49.99,81,0.7987602386708604,0.9247373711021294,1.1474957100737904,0.46517410493827166,0.1887500635816155,3.0,4.0
split_000_test,clean_all_category_types_empirical_utility,399223004,3.99,1,1.1763224466461049,1.1763224466461049,1.0510573156463958,0.57195475,0.9193771408916117,3.0,4.0
split_000_test,clean_all_category_types_empirical_utility,399223004,4.0,1,1.1762518395034567,1.1762518395034567,1.0509982084717286,0.5513872500000001,0.7003577391612706,3.0,4.0
split_000_test,clean_all_category_types_empirical_utility,399223004,7.99,7,0.8627219733286234,0.973843332326661,1.057972459145178,0.44334921428571433,0.4148065694949382,3.0,4.0
split_000_test,clean_all_category_types_empirical_utility,399223004,10.99,9,0.9057617254779748,0.9966161796367133,1.0374364423572142,0.4503332222222222,0.43256137016556173,3.0,4.0
split_000_test,clean_all_category_types_empirical_utility,399223004,12.99,8,1.0859237553686456,1.3492248309471089,1.352479438496176,0.6688403437499999,0.3600727696750835,5.5,4.0
split_000_test,clean_all_category_types_empirical_utility,399223004,15.99,3,3.3017483473186293,4.63719944857224,4.659182211563672,2.8201300000000002,0.5123169522794357,43.00000000000001,70.66666666666661
