split,model,article_id,offer_price,n_observations,mae,rmse,zt_avg_nll,zt_avg_crps,zt_pit_ks,zt_interval_score_0.9,zt_interval_score_0.95
split_000_test,coarse_trouser_types_empirical_utility,399256018,9.49,1,1.201805214774467,1.201805214774467,1.0723751139229787,0.5609190000000001,0.6710159646031417,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399256018,9.55,1,1.2017019283394852,1.2017019283394852,1.072288766507033,0.5494910000000001,0.7856523493388564,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399256018,9.99,106,2.2468667678625716,3.217413167954664,3.087626332943651,1.822254896226415,0.3786122106317108,22.622641509433965,27.77358490566036
split_000_test,coarse_trouser_types_empirical_utility,441386001,7.19,2,1.223936480969071,1.223936480969071,1.090866324368872,0.598262375,0.6822529707212053,4.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,441386001,8.99,3,1.2207814534528292,1.2207814534528292,1.0882314877793111,0.5526595833333333,0.7262745949261211,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,441386001,19.99,5,1.2403374727837857,1.5097443166408755,1.657230576948606,0.8374026999999999,0.2594796898299926,7.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,441386001,20.0,2,1.2016701506514766,1.2016701506514766,1.072262200280355,0.562916625,0.9492343296919746,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,441386001,20.99,2,1.1999673330266591,1.1999673330266591,1.0708385764520036,0.5748546250000001,0.8456598688065591,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,441386001,21.24,11,1.636153515495731,2.11141686406427,1.8152151997341819,1.0572058636363637,0.4234561995916311,10.272727272727273,14.9090909090909
split_000_test,coarse_trouser_types_empirical_utility,441386001,22.49,16,1.1348921890203862,1.1604197648693702,1.07312402207911,0.5417118437499999,0.6377386758866297,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,441386001,23.17,2,1.1962267252009888,1.1962267252009888,1.0677108354473752,0.5835018750000001,0.7414007916651371,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,441386001,23.45,2,1.1957471787279252,1.1957471787279252,1.067309814424467,0.5652753750000001,0.6712567539599577,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,441386001,24.99,101,0.9354801896578185,1.0472053361101423,1.1942959495424703,0.5203374900990099,0.3079606920339031,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,540768002,37.49,2,1.2161965016190375,1.2161965016190375,1.084401744480028,0.564263375,0.6775926982774918,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,540768002,39.99,2,1.288153762034442,1.3817887373413802,1.9933324739734308,0.9221461249999998,0.8523296275721345,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,540768002,42.49,9,2.3563902768369784,3.4317508995235526,3.0509262567952833,1.8540178055555556,0.2953314716795753,25.222222222222225,35.11111111111108
split_000_test,coarse_trouser_types_empirical_utility,540768002,44.99,10,0.5625561597005444,0.7228875216803733,1.1680665430671984,0.38134265,0.2718871243551323,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,540768002,45.99,1,1.2014728761234617,1.2014728761234617,1.072097277302645,0.5558395,0.965081828815449,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,540768002,46.03,1,1.2014040376795196,1.2014040376795196,1.0720397274529014,0.5713195000000001,0.9662923620033027,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,540768002,46.66,1,1.2003203846712616,1.2003203846712616,1.0711337521258246,0.558471,0.6948643417326908,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,540768002,46.82,1,1.200045336583238,1.200045336583238,1.0709037933040593,0.551358,0.7255435395319191,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,540768002,47.49,2,1.1988942997442318,1.1988942997442318,1.0699414129131166,0.561696875,0.8702181965296825,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,540768002,49.99,78,0.8811600830664137,1.1694762473791946,1.3384356819506469,0.5667142852564102,0.1962873814670829,4.538461538461538,5.025641025641025
split_000_test,coarse_trouser_types_empirical_utility,547780001,10.49,1,4.794812913850629,4.794812913850629,5.895727659255667,4.215327,0.9984772094118206,63.000000000000014,83.99999999999993
split_000_test,coarse_trouser_types_empirical_utility,547780001,12.74,2,10.298691267467927,10.310821588148062,15.40240813013475,9.652400375000001,0.9999995495489848,173.00000000000003,303.9999999999998
split_000_test,coarse_trouser_types_empirical_utility,547780001,13.77,1,1.1995377340906082,1.1995377340906082,1.07047939462669,0.6092470000000001,0.8711841895172296,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,547780001,14.36,1,0.1985245282994894,0.1985245282994894,1.139859611832988,0.25429750000000007,0.5294645869329737,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,547780001,14.99,85,2.83140025733321,4.187358162833929,3.967303074228082,2.384086605882353,0.37495849055607344,34.058823529411775,51.52941176470584
split_000_test,coarse_trouser_types_empirical_utility,547780003,2.99,1,1.2150990769985426,1.2150990769985426,1.0834849503420232,0.59043975,0.661603395713556,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,547780003,10.49,4,2.398944886091038,3.1670644775720933,3.3244483263916167,2.0224005625,0.6342434042354066,23.000000000000004,33.99999999999997
split_000_test,coarse_trouser_types_empirical_utility,547780003,10.99,1,1.2012495636206757,1.2012495636206757,1.0719105843487937,0.5570925,0.6607401960087665,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,547780003,11.99,4,0.8497650991937016,1.0908928457345455,1.4350559593243175,0.5892874375,0.21816675407509745,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,547780003,12.49,1,1.198671496354978,1.198671496354978,1.0697551206335238,0.55976,0.8816096278260972,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,547780003,12.74,3,3.9339192032443306,4.402766264163027,4.796108408128379,3.3396159166666664,0.6654352044035159,49.66666666666668,70.66666666666661
