split,model,article_id,offer_price,n_observations,mae,rmse,zt_avg_nll,zt_avg_crps,zt_pit_ks,zt_interval_score_0.9,zt_interval_score_0.95
split_000_test,rich_diagnostic_common_provider,397068015,10.39,1,1.2538857643380972,1.2538857643380972,1.1158573421999012,0.6334557500000001,0.7676918262231267,4.0,4.0
split_000_test,rich_diagnostic_common_provider,397068015,11.69,1,1.2478868483203653,1.2478868483203653,1.1108544770332385,0.6171912500000001,0.7864304121227041,4.0,4.0
split_000_test,rich_diagnostic_common_provider,397068015,12.06,1,1.2461850296297974,1.2461850296297974,1.1094349648898751,0.6245292499999999,0.7075608640284501,4.0,4.0
split_000_test,rich_diagnostic_common_provider,397068015,12.99,3,1.2419183375816774,1.2419183375816774,1.1058755434644072,0.5941255833333333,0.6889168837300654,4.0,4.0
split_000_test,rich_diagnostic_common_provider,397068015,15.99,1,1.228260056611512,1.228260056611512,1.094476369695212,0.5991367500000001,0.678566144919149,4.0,4.0
split_000_test,rich_diagnostic_common_provider,397068015,16.99,3,2.592085741971468,3.192193504029113,3.4397669850982684,2.1864080833333333,0.6327998087350655,17.333333333333336,30.666666666666643
split_000_test,rich_diagnostic_common_provider,397068015,17.99,5,0.9315458693374679,1.011663005240127,1.202387109296537,0.5161070999999999,0.37254598568280545,3.0,4.0
split_000_test,rich_diagnostic_common_provider,397068015,18.39,1,1.2174481714978036,1.2174481714978036,1.0854473338268205,0.59388625,0.9501532151375113,3.0,4.0
split_000_test,rich_diagnostic_common_provider,397068015,18.56,1,1.2166861697556945,1.2166861697556945,1.0848107993318938,0.608376,0.7650905204953726,3.0,4.0
split_000_test,rich_diagnostic_common_provider,397068015,19.99,89,1.048365431670019,1.4456126478719709,1.4922688238042665,0.6955986769662921,0.12822227349636306,5.696629213483146,7.146067415730334
split_000_test,rich_diagnostic_common_provider,399087001,7.0,1,1.269673227286455,1.269673227286455,1.1290167290405606,0.5728547500000001,0.9811972864874042,4.0,4.0
split_000_test,rich_diagnostic_common_provider,399087001,7.99,1,1.2650410861023116,1.2650410861023116,1.1251566855836435,0.6116117499999999,0.7359772779401825,4.0,4.0
split_000_test,rich_diagnostic_common_provider,399087001,9.99,2,1.2557377254783568,1.2557377254783568,1.1174015188193078,0.614647875,0.6849992542084349,4.0,4.0
split_000_test,rich_diagnostic_common_provider,399087001,14.99,1,1.2327950319688696,1.2327950319688696,1.0982620968278674,0.575839,0.8163796677508718,4.0,4.0
split_000_test,rich_diagnostic_common_provider,399087001,15.99,8,2.182065014152878,3.1880272153901683,2.772166646265446,1.6745813125,0.23818306919676446,19.0,33.99999999999997
